Steering wheel Angle	P1x	P1y	P2x	P2y	P3x	P3y
-470	-25,769813587190583	-16,8513905396685	-31,19085582892876	-13,747979642823339	-32,117523078108206	-20,53014190774411
-450	-30,962176291039214	-13,257439160719514	-32,67379416280892	-20,644637894816697	-25,753435348626226	-17,615195240825415
-400	-32,71548291668296	-22,38733177445829	-25,327196780126542	-19,521961184218526	-29,77903029555455	-13,151443649083376
-350	-23,771080576698296	-16,47219964209944	-32,1731926278444	-12,04144651349634	-33,190894529921934	-22,061034260317683
-300	-37,493009839439765	-14,840058166533709	-31,653888194356114	-24,3870059363544	-23,705325172864832	-17,36131888255477
-250	-21,489598613232374	-21,138914657756686	-23,910940899048	-11,499176695011556	-37,132182139204815	-14,012698612175882
-200	-38,91187557927333	-3,70319764316082	-27,45328043703921	-10,154107655398548	-17,80885211902205	1,1655007703229785
-150	-39,81001842254773	-1,5694984681904316	-31,517484860145487	-11,075472431257367	-13,298347678501159	-5,800606316886842
-100	-34,287730852956884	-45,02198048774153	-29,517326407367364	-29,66645370516926	-37,05971973214764	-14,498498911969364
-75	-34,07792266411707	-44,77373741287738	-27,869641176890582	-27,525910182856023	-37,97998363431543	 -4,420433264225721
-50	-33,586742592044175	-44,16427932679653	-25,75560651056003	-26,82185090146959	-25,826458268333226	-8,24482967890799
-20	-33,71177364978939	-44,65730242989957	-22,681100356858224	-26,639233965426683	-13,9698234742973	-1,6620149305090308
-10	-32,676873176475056	-43,687668869271874	-21,33249033940956	-26,236144962720573	-8,040819693589583	0,4236977808177471
-5	-34,27744750864804	-46,32791002932936	-22,44642516307067	-28,78014835342765	-6,269402449368499	-1,265097207389772
5	-2,850748260738328	0,1881252145394683	-14,842161010717973	-14,86526320874691	-32,64544688886963	-35,89875508006662
10	-3,7746067717671394	-0,7444973345845938	-17,684633541852236	-17,65384214837104	-32,799972974229604	-33,35867116320878
20	-2,6814498195890337	0,8908601580187678	-18,286241351393983	-16,772209228016436	-34,35831525595859	-29,4861191380769
50	-1,1739632098469883	-2,073482829146087	-16,336201197234914	-13,947647662833333	-35,22751691297162	-18,71891113370657
75	-2,896764876553789	-0,7204446531832218	-23,53167416760698	-17,002720183692873	-36,27810937224422	-17,185746788047254
100	-2,7461857323069125	-0,4139022957533598	-18,41275727143511	-13,043315435759723	-37,092337551759556	-9,009262105450034
150	-5,362687823129818	-2,6211840556934476	-17,685624505160376	-12,060955421067774	-31,552328730933368	-5,601633776910603
200	-14,701007171534002	-1,6960090836510062	-22,341142396442592	-15,267876309342682	-36,14987199520692	-5,313954245299101
250	-14,255694448715076	-4,926822840236127	-19,543975064880215	-17,13889301661402	-30,406573031912558	-8,787280236370862
300	-19,615091967512853	-5,168136849068105	-22,706334969494492	-18,10470651090145	-30,000240717316046	-12,67030069977045
350	-30,089770047692582	-12,18292239960283	-22,26042314467486	-6,215287338010967	-21,230755169177428	-16,283990220166743
400	-22,496011547045782	-16,899446134455502	-28,118618487380445	-14,566684196703136	-27,481152188498527	-9,270976904779673
450	-27,282094086287543	-9,059090820141137	-21,450464233756065	-9,327175110578537	-23,698503146413714	-15,890197350643575
470	-24,055078162811697	-15,941453583538532	-28,12205152725801	-12,34508727118373	-22,885528768063523	-8,941651877015829
